time,filtered_pose/dx,filtered_pose/dy,filtered_pose/dz,filtered_pose/p,filtered_pose/pitch,filtered_pose/q,filtered_pose/r,filtered_pose/roll,filtered_pose/timestamp,filtered_pose/vxb,filtered_pose/vyb,filtered_pose/x,filtered_pose/xb,filtered_pose/y,filtered_pose/yaw,filtered_pose/yb,filtered_pose/z,u_control/timestamp,u_control/ux,u_control/uy,u_control/uyaw,u_control/uz
1749762456.831792,0.003007050,0.013873400,-0.042116400,-0.011635900,-0.022695700,0.025486500,-0.009302850,-0.018303500,1749762456.831792116,-0.005649366,-0.013022989,0.241396000,-0.087215992,-0.768565000,-2.945740000,0.800848025,1.460770000,,,,,
1749762456.841698,0.002621920,0.013847100,-0.040929700,-0.008121490,-0.022081400,0.027960300,-0.010607700,-0.017909300,1749762456.841697931,-0.005262821,-0.013073613,0.241370000,-0.087440956,-0.768430000,-2.946020000,0.800686094,1.460520000,,,,,
1749762456.851679,0.002370640,0.013753000,-0.039746700,-0.004949120,-0.021342400,0.031123000,-0.011271600,-0.017529600,1749762456.851679087,-0.004995308,-0.013031187,0.241359000,-0.087622573,-0.768305000,-2.946230000,0.800542956,1.460280000,,,,,
1749762456.861755,0.002046640,0.013607500,-0.038708100,-0.002305150,-0.020197900,0.036858400,-0.010884800,-0.017195000,1749762456.861754894,-0.004648579,-0.012951583,0.241336000,-0.087662550,-0.768189000,-2.946280000,0.800420316,1.460030000,,,,,
1749762456.866847,,,,,,,,,,,,,,,,,,1749762456.866847038,0.250000000,0.000000000,0.000000000,0.000000000
1749762456.871590,0.001746200,0.013360200,-0.037460300,0.000019067,-0.019150700,0.041529600,-0.010451400,-0.016880400,1749762456.871589899,-0.004305219,-0.012767508,0.241313000,-0.087699410,-0.768089000,-2.946330000,0.800313369,1.459830000,,,,,
1749762456.881793,0.001388910,0.013214100,-0.036418900,0.000422366,-0.017743500,0.048357000,-0.008970510,-0.016821600,1749762456.881793022,-0.003927768,-0.012693075,0.241278000,-0.087598978,-0.767976000,-2.946220000,0.800205367,1.459600000,,,,,
1749762456.891700,0.000994165,0.013017600,-0.035356800,-0.000451847,-0.016280500,0.055098000,-0.006794030,-0.016944400,1749762456.891700029,-0.003505278,-0.012576140,0.241235000,-0.087392767,-0.767873000,-2.945990000,0.800116100,1.459400000,,,,,
1749762456.901768,0.000641406,0.012731100,-0.034118200,-0.001209590,-0.014947100,0.060483700,-0.004837410,-0.017059000,1749762456.901767969,-0.003106282,-0.012362982,0.241194000,-0.087193840,-0.767784000,-2.945770000,0.800040031,1.459220000,,,,,
1749762456.911688,0.000141063,0.012465000,-0.033182100,-0.002039630,-0.013096600,0.069057800,-0.004858820,-0.017191700,1749762456.911688089,-0.002562994,-0.012199475,0.241127000,-0.087193239,-0.767696000,-2.945830000,0.799935446,1.459020000,,,,,
1749762456.915994,,,,,,,,,,,,,,,,,,1749762456.915993929,0.250000000,0.000000000,0.000000000,0.000000000
1749762456.921539,-0.000434950,0.012098400,-0.032334900,-0.001912010,-0.011157400,0.077652500,-0.004938380,-0.017193500,1749762456.921539068,-0.001925957,-0.011952036,0.241045000,-0.087174801,-0.767624000,-2.945890000,0.799843642,1.458810000,,,,,
1749762456.931692,-0.000933005,0.011671700,-0.031310400,-0.001783890,-0.009392740,0.084453900,-0.004963970,-0.017194000,1749762456.931691885,-0.001353853,-0.011630398,0.240968000,-0.087150733,-0.767565000,-2.945940000,0.799766438,1.458630000,,,,,
1749762456.941707,-0.002107490,0.011474100,-0.030527800,-0.000722402,-0.007407210,0.092307600,-0.004944050,-0.017057700,1749762456.941706896,-0.000162778,-0.011664904,0.240788000,-0.087031257,-0.767477000,-2.945990000,0.799640774,1.458430000,,,,,
1749762456.951679,-0.003248510,0.011221400,-0.029752700,0.000086058,-0.005444450,0.099463900,-0.005134020,-0.016947400,1749762456.951678991,0.001006412,-0.011638719,0.240602000,-0.086919930,-0.767399000,-2.946060000,0.799522028,1.458240000,,,,,
1749762456.961707,-0.004213960,0.010901800,-0.028813900,0.000789743,-0.003671860,0.104819000,-0.005254090,-0.016844300,1749762456.961707115,0.002016365,-0.011512644,0.240429000,-0.086819009,-0.767333000,-2.946130000,0.799417598,1.458080000,,,,,
1749762456.965169,,,,,,,,,,,,,,,,,,1749762456.965168953,0.250000000,0.000000000,0.000000000,0.000000000
